,carat,cut,color,clarity,depth,table,x,y,z,price
18457,1.04,Ideal,F,VS2,61.1,57.0,6.52,6.54,3.99,7508
31618,0.23,Very Good,E,VS2,62.5,59.0,3.91,3.96,2.46,373
38689,0.37,Ideal,E,VS2,62.0,57.0,4.63,4.6,2.86,1041
4056,0.36,Ideal,G,SI1,61.5,54.0,4.6,4.63,2.84,571
34502,0.4,Very Good,G,VVS2,60.6,59.0,4.74,4.8,2.89,868
41013,0.44,Ideal,H,IF,61.5,56.0,4.89,4.93,3.02,1185
5855,0.7,Very Good,D,VVS1,61.5,63.0,5.78,5.64,3.51,3920
47224,0.71,Ideal,G,SI2,62.8,57.0,5.68,5.63,3.55,1840
25692,0.32,Very Good,D,SI1,60.0,56.0,4.5,4.53,2.71,644
47778,0.6,Premium,D,SI1,60.4,60.0,5.44,5.48,3.3,1896
18415,1.02,Premium,F,VS1,61.9,58.0,6.5,6.45,4.01,7485
26332,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,15840
40086,0.33,Premium,H,IF,60.3,59.0,4.49,4.47,2.7,1114
51929,0.81,Ideal,I,SI1,62.5,57.0,5.98,5.92,3.72,2439
38053,0.34,Fair,E,VVS1,54.0,56.0,4.8,4.76,2.58,1012
39914,0.54,Very Good,I,SI2,62.9,57.0,5.18,5.21,3.27,1105
46889,0.47,Ideal,G,IF,62.1,54.0,4.99,5.02,3.11,1814
33108,0.4,Good,G,VS2,59.6,63.0,4.77,4.81,2.85,816
38012,0.44,Good,D,VS2,63.6,56.0,4.81,4.84,3.07,1009
26245,2.03,Very Good,E,SI2,63.0,61.0,7.99,8.04,5.05,15690
45125,0.59,Very Good,E,SI1,62.9,58.0,5.31,5.34,3.35,1652
45554,0.51,Ideal,D,SI1,62.8,56.0,5.09,5.07,3.19,1687
25072,2.01,Very Good,J,VS2,63.2,55.0,7.97,8.04,5.07,13596
27897,0.4,Good,G,SI1,63.2,58.0,4.61,4.7,2.94,655
49989,0.7,Good,E,SI2,63.7,61.0,5.6,5.64,3.58,2192
45569,0.52,Very Good,E,VS2,60.3,60.0,5.17,5.21,3.13,1689
49320,0.51,Ideal,F,VVS2,61.2,56.0,5.17,5.19,3.17,2093
23420,1.53,Premium,H,VS1,60.8,59.0,7.41,7.36,4.49,11413
22517,1.21,Ideal,E,VS2,61.8,53.0,6.86,6.9,4.25,10556
13832,1.01,Very Good,H,VS2,60.7,58.0,6.47,6.51,3.94,5638
45346,0.59,Ideal,E,SI1,62.4,55.0,5.34,5.39,3.35,1664
41302,0.56,Ideal,F,SI2,61.9,55.0,5.27,5.31,3.28,1212
17922,1.39,Premium,J,VS1,60.8,58.0,7.26,7.21,4.4,7239
22916,1.73,Premium,I,SI1,61.2,60.0,7.67,7.65,4.69,10957
28760,0.31,Ideal,E,VS2,60.9,57.0,4.34,4.36,2.65,680
27988,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64,658
27100,2.01,Very Good,F,SI2,60.8,57.0,8.09,8.15,4.94,17244
41428,0.53,Very Good,E,SI2,63.2,54.0,5.19,5.16,3.27,1227
31355,0.27,Ideal,F,IF,61.8,55.0,4.14,4.21,2.57,760
39840,0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,1098
46370,0.57,Premium,F,VS2,59.5,60.0,5.44,5.35,3.21,1760
25630,2.01,Premium,E,SI2,62.6,58.0,8.01,7.93,4.99,14502
7885,0.66,Very Good,D,VVS2,60.7,59.0,5.6,5.67,3.42,4311
11172,0.98,Ideal,F,SI1,62.7,55.0,6.37,6.27,3.96,4950
27149,1.97,Very Good,H,VS2,62.9,59.0,7.9,8.01,5.0,17377
30509,0.31,Ideal,D,SI1,61.8,57.0,4.36,4.32,2.68,732
3978,0.91,Premium,D,SI2,58.3,60.0,6.4,6.33,3.71,3511
42661,0.57,Ideal,D,SI2,62.3,53.0,5.32,5.34,3.32,1333
44061,0.55,Ideal,E,SI1,61.7,57.0,5.23,5.27,3.24,1551
50545,0.71,Premium,F,SI2,62.1,60.0,5.7,5.66,3.53,2275
48973,0.34,Ideal,I,VS1,62.6,56.0,4.44,4.47,2.79,537
46684,0.7,Ideal,I,SI1,61.3,57.0,5.72,5.75,3.52,1790
22200,1.16,Ideal,D,VS1,61.2,58.0,6.73,6.76,4.13,10241
25443,1.5,Ideal,F,VS2,60.4,57.0,7.43,7.41,4.48,14199
32748,0.36,Ideal,F,VS1,61.3,55.0,4.59,4.61,2.82,803
16675,1.01,Very Good,E,VS2,61.9,55.0,6.38,6.44,3.97,6666
33004,0.38,Ideal,E,VS2,61.5,55.0,4.67,4.7,2.88,813
19032,0.3,Ideal,E,VS2,61.4,56.0,4.33,4.36,2.67,621
34084,0.36,Ideal,D,VS2,61.5,57.0,4.56,4.58,2.81,852
16531,1.0,Premium,G,VS1,62.4,59.0,6.35,6.4,3.98,6606
52368,0.73,Premium,F,SI1,61.9,60.0,5.78,5.81,3.59,2504
22222,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,10278
4354,1.04,Very Good,I,SI2,59.6,57.0,6.6,6.62,3.94,3603
45840,0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715
50088,0.74,Premium,G,SI2,60.1,58.0,5.89,5.86,3.53,2206
14517,1.01,Premium,G,VS2,61.2,58.0,6.49,6.46,3.96,5864
26274,2.11,Premium,G,SI2,59.1,59.0,8.33,8.4,4.94,15757
27894,0.32,Ideal,I,IF,61.7,55.0,4.4,4.42,2.72,655
41067,0.51,Ideal,F,SI2,60.2,55.0,5.19,5.24,3.14,1191
37815,0.36,Ideal,D,VS1,61.8,55.0,4.58,4.54,2.82,1002
7613,1.01,Very Good,D,SI2,60.8,61.0,6.45,6.5,3.94,4260
52792,0.71,Very Good,H,VS1,62.1,55.0,5.71,5.72,3.55,2569
48753,0.76,Good,I,SI1,64.1,59.0,5.75,5.73,3.68,2016
30167,0.32,Very Good,F,VVS2,63.0,56.0,4.37,4.39,2.76,721
50880,0.71,Ideal,I,VS2,62.1,59.0,5.73,5.7,3.55,2315
29665,0.35,Ideal,F,VS2,61.9,54.0,4.5,4.54,2.8,706
23444,1.51,Premium,H,VS2,62.3,59.0,7.28,7.32,4.55,11435
6005,1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,3959
28797,0.27,Very Good,F,VVS1,61.8,56.0,4.15,4.17,2.57,682
11896,0.9,Premium,E,VS1,62.1,59.0,6.15,6.09,3.8,5116
34823,0.3,Ideal,H,VVS1,61.9,55.0,4.34,4.32,2.68,878
16915,2.03,Fair,F,I1,65.6,56.0,7.89,7.86,5.16,6753
49099,0.64,Fair,F,VS2,57.0,62.5,5.67,5.78,3.26,2063
38116,0.3,Ideal,H,IF,62.1,55.0,4.3,4.27,2.66,1013
19426,1.01,Ideal,F,VS1,60.9,57.0,6.52,6.49,3.96,8077
25689,0.3,Very Good,G,VS2,63.5,59.0,4.22,4.17,2.66,644
841,0.62,Ideal,G,IF,60.5,57.0,5.52,5.56,3.35,2868
35475,0.39,Ideal,G,VVS2,60.6,57.0,4.72,4.75,2.87,902
35015,0.4,Premium,E,SI1,61.0,59.0,4.74,4.71,2.88,882
1814,0.61,Ideal,E,VVS2,60.8,56.0,5.5,5.47,3.34,3056
6656,0.9,Ideal,I,VS1,61.3,55.0,6.21,6.25,3.82,4093
20615,1.3,Ideal,H,VS1,61.3,59.0,6.97,7.03,4.29,8915
30795,0.41,Ideal,I,VS2,62.0,57.0,4.74,4.77,2.95,742
46387,0.5,Very Good,G,VVS2,62.8,57.0,5.05,5.07,3.18,1764
37678,0.42,Ideal,H,VS2,62.9,56.0,4.79,4.72,2.99,992
26342,0.32,Ideal,G,VS1,61.2,56.0,4.41,4.45,2.71,645
21642,1.34,Very Good,H,VVS2,59.7,60.0,7.19,7.22,4.3,9735
33993,0.42,Ideal,G,VS2,61.7,57.0,4.8,4.83,2.97,847
782,0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
34691,0.3,Ideal,F,IF,61.3,56.0,4.3,4.34,2.65,873
27488,1.63,Ideal,F,VS1,61.6,57.0,7.53,7.61,4.66,18179
47418,0.57,Premium,G,VS1,62.4,58.0,5.29,5.32,3.31,1851
36033,0.41,Premium,G,SI1,60.3,60.0,4.8,4.76,2.88,923
20432,1.12,Very Good,E,VS1,60.8,58.0,6.69,6.73,4.08,8788
18298,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,7438
6581,0.9,Ideal,D,SI2,62.4,56.0,6.16,6.24,3.87,4078
33255,0.32,Ideal,E,VS1,61.1,55.0,4.44,4.46,2.72,825
12753,1.22,Ideal,H,SI2,62.3,55.3,6.8,6.87,4.26,5321
29408,0.38,Ideal,I,VS1,62.0,54.0,4.67,4.72,2.91,700
37177,0.32,Ideal,D,VS2,62.5,57.0,4.39,4.34,2.73,972
44372,0.43,Ideal,F,IF,62.0,56.0,4.87,4.84,3.01,1580
46873,0.53,Ideal,E,VS2,61.4,56.0,5.24,5.21,3.21,1813
29913,0.3,Premium,D,VS1,61.9,58.0,4.28,4.32,2.66,712
20267,1.74,Premium,J,SI2,59.7,57.0,7.88,7.8,4.68,8690
40721,0.38,Ideal,E,VVS1,62.4,54.0,4.64,4.66,2.9,1160
47005,0.51,Premium,D,VS2,61.9,58.0,5.19,5.12,3.19,1818
2643,0.75,Good,E,VS1,63.1,55.0,5.8,5.83,3.67,3231
44139,0.59,Ideal,F,SI1,62.0,57.0,5.41,5.34,3.33,1561
8898,1.31,Premium,J,SI1,60.3,62.0,7.12,7.04,4.26,4490
18927,1.61,Very Good,I,SI2,60.9,63.0,7.54,7.5,4.58,7775
44438,0.51,Ideal,E,VS2,61.7,53.0,5.18,5.2,3.2,1590
32248,0.31,Ideal,H,IF,61.2,56.0,4.36,4.4,2.68,789
17939,1.25,Premium,H,VS2,60.4,59.0,6.92,6.96,4.19,7246
22927,1.57,Ideal,I,VS2,60.4,58.0,7.55,7.59,4.57,10964
30345,0.36,Premium,E,VS1,61.5,59.0,4.57,4.6,2.82,727
39569,0.44,Ideal,G,VVS2,61.8,56.0,4.9,4.94,3.04,1081
48411,0.51,Very Good,E,VS1,62.8,57.1,5.07,5.1,3.2,1970
10533,1.01,Premium,D,SI2,61.5,56.0,6.46,6.39,3.95,4805
39999,0.41,Ideal,F,VS2,62.1,56.0,4.79,4.74,2.96,1107
40628,0.41,Premium,E,VS1,62.2,57.0,4.78,4.74,2.96,1153
26796,2.24,Premium,H,SI2,61.4,57.0,8.43,8.35,5.15,16656
29695,0.31,Premium,G,VVS2,60.5,58.0,4.39,4.43,2.67,707
8339,1.02,Ideal,J,VS2,61.1,58.0,6.45,6.49,3.95,4397
34324,0.39,Premium,F,SI1,61.3,62.0,4.71,4.68,2.88,860
13383,0.3,Ideal,D,VS1,61.0,58.0,4.3,4.36,2.64,601
30189,0.33,Premium,G,VVS2,61.3,59.0,4.42,4.45,2.72,722
7658,1.21,Good,J,SI2,63.7,55.0,6.81,6.75,4.32,4269
25635,1.51,Premium,G,VS1,62.6,60.0,7.28,7.19,4.53,14507
52482,0.73,Premium,H,VS2,61.0,58.0,5.84,5.76,3.54,2519
2309,0.7,Ideal,G,VVS1,62.8,57.0,5.63,5.68,3.55,3165
35575,0.35,Ideal,F,VS2,60.8,57.0,4.56,4.52,2.76,906
24421,1.5,Very Good,G,VS2,62.5,59.0,7.23,7.27,4.53,12672
29171,0.39,Very Good,G,SI1,62.5,55.0,4.68,4.7,2.93,694
34888,0.31,Ideal,D,VS2,59.4,57.0,4.5,4.45,2.66,879
53454,0.7,Ideal,F,VS2,62.2,55.0,5.66,5.72,3.54,2676
15191,1.23,Ideal,J,VS1,62.2,55.0,6.83,6.86,4.26,6100
45899,0.52,Ideal,D,SI1,61.8,57.0,5.19,5.14,3.19,1720
34127,0.42,Very Good,G,VS2,62.1,55.0,4.8,4.83,2.99,854
8340,1.02,Ideal,J,VS2,60.7,57.0,6.5,6.54,3.96,4397
11583,1.5,Fair,I,I1,65.1,59.0,7.12,6.96,4.58,5040
24011,2.08,Ideal,J,SI2,62.3,55.0,8.23,8.17,5.11,12179
6333,1.06,Premium,H,SI2,62.6,58.0,6.52,6.46,4.06,4031
46970,0.32,Ideal,I,VS1,60.9,56.7,4.41,4.44,2.69,529
51598,0.7,Good,I,VVS2,63.3,55.0,5.61,5.67,3.57,2394
4706,0.92,Very Good,E,SI2,63.2,54.0,6.29,6.25,3.96,3679
32852,0.4,Premium,H,VS1,62.4,60.0,4.69,4.74,2.94,807
33713,0.33,Ideal,H,IF,61.6,55.0,4.48,4.51,2.77,838
12213,1.13,Premium,H,SI1,62.3,58.0,6.68,6.67,4.16,5194
40927,0.3,Ideal,E,SI1,62.4,57.0,4.27,4.29,2.67,499
20381,0.31,Ideal,F,VS2,62.0,56.0,4.35,4.39,2.71,625
48327,0.24,Ideal,F,VS2,61.8,57.0,4.02,3.97,2.47,536
36022,0.35,Ideal,E,VS2,61.9,54.0,4.53,4.58,2.82,923
11882,1.17,Ideal,H,SI2,62.3,57.0,6.78,6.74,4.21,5111
23090,1.62,Ideal,H,VS2,62.4,57.0,7.48,7.53,4.68,11114
14920,1.5,Fair,J,SI1,64.9,58.0,7.09,7.03,4.58,6006
25077,2.11,Premium,G,SI2,62.2,58.0,8.19,8.23,5.11,13598
32722,0.31,Ideal,F,VS2,62.7,57.0,4.34,4.3,2.71,802
24357,1.7,Very Good,I,VS1,61.9,57.0,7.67,7.64,4.74,12621
19099,1.2,Premium,F,VS2,60.1,57.0,6.82,6.76,4.08,7865
40186,0.52,Very Good,E,SI2,61.8,54.0,5.15,5.18,3.19,1120
43849,0.5,Good,F,VS2,61.3,61.0,5.05,5.1,3.11,1447
7695,1.0,Good,H,SI1,64.9,56.0,6.24,6.31,4.07,4276
39873,0.45,Fair,F,VS2,65.8,55.0,4.81,4.73,3.14,1102
45365,0.4,Ideal,D,VVS1,61.1,56.0,4.77,4.82,2.93,1665
20580,1.13,Ideal,G,VVS2,61.5,57.0,6.67,6.71,4.12,8889
5768,0.91,Premium,E,SI2,62.8,59.0,6.16,6.13,3.86,3898
31053,0.34,Ideal,H,VVS1,61.1,56.0,4.51,4.56,2.77,751
38263,0.31,Very Good,I,SI2,60.6,61.0,4.4,4.45,2.68,383
35323,0.31,Ideal,F,VVS1,62.1,56.0,4.35,4.38,2.71,897
19019,1.01,Very Good,F,VVS2,60.7,59.0,6.4,6.46,3.9,7835
32929,0.42,Premium,D,SI1,61.1,60.0,4.79,4.83,2.94,810
32866,0.46,Very Good,F,SI2,61.5,56.0,4.98,5.01,3.07,809
40286,0.3,Ideal,E,I1,60.3,57.0,4.39,4.36,2.64,495
26220,2.01,Good,H,SI1,60.9,65.0,8.22,8.18,4.99,15618
20417,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,8775
25992,1.66,Ideal,H,VS1,62.0,55.0,7.61,7.67,4.74,15210
28984,0.35,Very Good,D,VS2,62.8,58.0,4.47,4.51,2.82,685
46028,0.57,Premium,I,VVS1,62.1,58.0,5.32,5.25,3.28,1728
34323,0.32,Ideal,E,VVS1,60.7,55.0,4.42,4.45,2.69,860
13432,1.08,Ideal,H,SI1,61.8,54.0,6.6,6.61,4.09,5517
30089,0.32,Premium,H,VS1,60.5,59.0,4.42,4.41,2.67,720
13592,1.01,Very Good,F,VS2,61.0,59.0,6.39,6.46,3.92,5560
3895,0.77,Good,D,VS2,63.1,57.0,5.83,5.86,3.69,3489
52078,0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,2456
37178,0.32,Ideal,D,VS2,61.8,57.0,4.36,4.35,2.69,972
2470,0.71,Very Good,E,VS1,61.5,57.0,5.74,5.77,3.54,3192
36195,0.37,Ideal,F,VVS1,61.5,56.0,4.59,4.61,2.83,931
20513,1.4,Premium,H,VS2,62.9,55.0,7.15,7.06,4.47,8847
4261,0.9,Very Good,I,VS2,61.6,57.0,6.13,6.17,3.79,3581
40716,0.53,Very Good,E,SI2,58.3,62.0,5.3,5.36,3.11,1160
16305,1.13,Ideal,G,VS2,62.7,57.0,6.65,6.68,4.18,6525
26009,1.52,Ideal,E,VS2,62.2,57.0,7.34,7.38,4.58,15239
19091,1.8,Ideal,D,SI2,62.9,54.0,7.77,7.74,4.88,7862
37247,0.43,Good,D,VS2,59.9,61.0,4.84,4.88,2.91,976
18733,1.68,Premium,J,SI2,59.2,57.0,7.83,7.72,4.6,7652
34767,0.41,Ideal,E,SI2,62.8,57.0,4.73,4.7,2.96,876
35904,0.32,Ideal,G,IF,61.5,55.0,4.43,4.45,2.73,918
35841,0.32,Very Good,E,VVS1,60.4,57.0,4.42,4.46,2.68,917
29835,0.24,Premium,E,VVS1,60.7,58.0,4.03,4.01,2.44,710
18311,1.09,Ideal,E,VS2,61.2,56.0,6.62,6.67,4.07,7443
50117,0.65,Ideal,H,VVS2,61.6,58.0,5.56,5.6,3.44,2210
8988,1.2,Ideal,J,SI2,59.1,62.0,6.97,6.94,4.11,4509
16345,1.03,Very Good,G,VS1,62.2,57.0,6.42,6.47,4.01,6539
24957,2.08,Premium,F,SI2,62.0,60.0,8.15,8.1,5.04,13437
15076,1.12,Ideal,I,VS1,60.9,57.0,6.7,6.73,4.09,6060
17796,1.1,Very Good,F,VS2,62.8,56.0,6.56,6.59,4.13,7174
39247,0.41,Ideal,G,VVS1,60.8,56.0,4.82,4.85,2.94,1068
12871,1.03,Premium,H,VS2,63.0,59.0,6.47,6.36,4.04,5364
22960,1.41,Ideal,G,VS1,60.4,57.0,7.22,7.31,4.39,11009
39555,0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080
2588,0.71,Premium,D,VS2,59.2,59.0,5.8,5.86,3.45,3217
33958,0.23,Very Good,E,VVS1,62.2,59.0,3.92,3.96,2.45,465
39442,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,1076
51134,0.71,Premium,E,SI2,60.5,59.0,5.78,5.75,3.49,2340
23386,0.3,Good,I,IF,63.3,57.0,4.23,4.3,2.7,631
36000,0.42,Ideal,G,VS1,62.0,55.0,4.78,4.83,2.98,921
41601,0.24,Very Good,F,VS1,59.3,57.0,4.07,4.12,2.43,393
21743,1.59,Ideal,I,SI1,60.2,57.0,7.56,7.72,4.6,9813
22036,0.31,Premium,H,VS2,59.7,61.0,4.42,4.39,2.63,628
16446,1.21,Premium,H,SI1,62.4,56.0,6.83,6.79,4.25,6566
47732,0.7,Very Good,I,SI1,63.8,59.0,5.56,5.6,3.56,1890
36767,0.39,Premium,F,VS1,61.7,58.0,4.71,4.69,2.9,956
10019,1.11,Ideal,I,SI1,61.9,57.0,6.62,6.67,4.11,4709
38308,0.31,Good,I,SI1,64.3,55.0,4.29,4.27,2.75,488
45731,0.7,Good,I,SI2,63.4,59.0,5.66,5.57,3.56,1699
3001,0.77,Ideal,E,VS2,61.0,56.0,5.91,5.96,3.62,3303
50387,0.71,Good,G,SI1,62.3,56.0,5.68,5.72,3.55,2251
25206,2.09,Ideal,I,SI2,61.2,57.0,8.19,8.27,5.04,13807
32984,0.37,Premium,E,VS2,59.1,60.0,4.66,4.68,2.76,811
23326,1.53,Premium,F,SI1,62.0,56.0,7.47,7.39,4.61,11370
5085,0.9,Good,G,SI1,60.0,61.0,6.19,6.22,3.72,3752
15491,1.23,Premium,I,VS2,61.1,60.0,6.95,6.89,4.23,6206
25940,2.01,Premium,G,SI1,61.8,59.0,8.15,8.09,5.02,15105
42771,0.62,Very Good,F,SI2,63.1,52.0,5.39,5.53,3.45,1348
12585,1.31,Premium,I,SI1,62.0,58.0,7.01,6.98,4.34,5282
43095,0.62,Premium,G,SI1,59.6,58.0,5.63,5.56,3.34,1382
1222,0.82,Premium,H,VS2,62.6,59.0,5.99,5.93,3.73,2939
52012,0.85,Premium,G,SI2,62.0,58.0,6.08,6.04,3.76,2444
23083,2.01,Very Good,J,SI2,61.0,57.0,8.09,8.14,4.95,11110
5211,0.72,Ideal,F,VVS2,60.9,56.0,5.83,5.77,3.53,3780
4024,0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
35232,0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,893
37111,0.5,Fair,I,VS1,66.9,56.0,4.85,4.81,3.23,969
40058,0.57,Ideal,I,SI1,61.6,54.0,5.36,5.38,3.31,1113
48130,0.9,Fair,G,I1,65.1,58.0,6.05,5.99,3.92,1939
45270,0.54,Very Good,D,SI1,62.0,55.0,5.21,5.24,3.24,1662
48473,0.56,Ideal,E,VS1,61.0,57.0,5.32,5.34,3.25,1978
9150,1.1,Very Good,E,SI2,60.0,58.0,6.72,6.75,4.04,4539
15416,1.28,Good,G,SI1,57.6,62.0,7.17,7.13,4.12,6175
32064,0.33,Premium,D,SI1,60.1,59.0,4.49,4.46,2.69,780
45317,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,524
22954,1.22,Ideal,G,VVS2,60.0,58.0,6.95,6.99,4.18,11003
20165,1.01,Very Good,G,IF,62.8,57.0,6.39,6.42,4.02,8621
52187,0.7,Ideal,G,SI1,61.6,56.0,5.69,5.73,3.52,2478
50599,0.7,Ideal,E,SI2,62.5,54.0,5.68,5.71,3.56,2283
18857,1.36,Premium,G,SI1,60.6,59.0,7.21,7.17,4.36,7729
49006,0.53,Ideal,G,VVS2,61.7,56.0,5.23,5.2,3.22,2051
12804,1.01,Very Good,E,SI1,61.1,57.0,6.43,6.46,3.94,5339
3273,1.0,Premium,H,SI2,59.8,61.0,6.24,6.17,3.71,3360
37167,0.32,Premium,D,VS2,61.7,59.0,4.43,4.38,2.72,972
31689,0.4,Very Good,H,VS1,61.8,53.0,4.76,4.78,2.95,770
13958,1.01,Very Good,G,VS2,62.5,57.0,6.37,6.4,3.99,5679
46478,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3,1777
43577,0.41,Premium,E,VVS1,62.9,59.0,4.76,4.72,2.98,1431
30844,0.33,Premium,H,VS1,61.9,58.0,4.45,4.43,2.75,743
41940,0.29,Very Good,D,VS1,62.9,55.0,4.21,4.25,2.66,504
46371,0.71,Ideal,F,I1,60.1,57.0,5.79,5.76,3.47,1761
26056,2.13,Ideal,J,VS2,62.1,55.0,8.23,8.29,5.13,15258
17382,0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,612
2523,0.7,Very Good,F,VVS1,63.3,62.0,5.67,5.57,3.56,3204
42000,0.59,Premium,H,SI1,62.4,58.0,5.42,5.35,3.36,1265
33919,0.47,Good,E,SI2,56.5,62.0,5.17,5.09,2.9,844
35376,0.41,Very Good,G,VS1,60.5,57.0,4.81,4.85,2.92,899
26138,2.47,Ideal,J,SI2,62.1,57.0,8.64,8.57,5.34,15430
34040,0.46,Ideal,I,SI1,61.9,55.0,4.97,4.98,3.08,850
9120,1.0,Fair,G,VVS2,66.9,55.0,6.2,6.17,4.14,4534
21718,0.32,Ideal,H,VVS2,62.2,54.0,4.42,4.46,2.76,628
16114,1.01,Premium,G,VS1,62.7,56.0,6.46,6.36,4.02,6441
1150,0.75,Very Good,E,SI1,61.5,58.0,5.82,5.86,3.59,2923
