,AT,V,AP,RH,PE
2364,14.29,37.85,1009.98,92.81,468.63
6523,19.09,56.51,1015.58,92.56,449.24
4823,28.73,68.3,1016.53,55.73,434.15
4948,11.74,40.6,1013.91,90.57,473.84
2631,9.75,40.81,1026.0,84.44,481.95
664,29.28,74.33,1011.66,72.37,426.53
7372,21.26,51.43,1009.96,80.66,455.45
7544,32.06,71.85,1007.9,56.44,426.07
23,7.29,41.04,1024.06,89.19,474.71
6566,15.68,39.16,1006.09,75.62,461.98
862,14.6,44.84,1023.58,88.21,464.88
7861,28.71,71.64,1005.21,71.11,432.05
5263,28.15,70.72,1009.76,73.38,436.19
6184,25.14,49.02,1007.56,79.02,438.53
8817,21.25,66.86,1012.99,60.65,455.72
1535,11.62,41.54,1019.94,66.43,477.75
9265,26.2,74.67,1016.69,84.38,430.22
4638,12.68,40.73,1017.66,92.08,465.94
8663,22.45,63.77,1014.57,87.44,444.26
5420,14.79,39.52,1017.95,71.97,469.47
1109,25.16,57.17,1009.86,75.7,442.03
3288,23.55,65.94,1011.76,58.44,443.98
3778,20.85,56.89,1013.15,68.22,450.07
1584,13.93,44.9,1022.15,85.93,470.59
8958,25.86,59.92,1009.92,73.95,436.06
6746,24.9,58.49,1011.06,65.14,444.19
6777,28.76,51.43,1011.88,49.79,449.98
2397,22.88,50.23,1016.11,63.77,458.08
5374,8.49,39.61,1021.05,87.74,483.94
8533,26.71,70.4,1007.59,82.63,432.64
8302,21.92,64.63,1020.42,65.22,452.49
4469,21.6,66.86,1013.02,54.19,450.84
18,9.94,40.46,1018.9,68.51,473.74
9238,28.32,71.32,1008.02,78.82,433.82
8389,27.14,65.27,1013.26,55.17,441.68
5327,28.3,64.33,1011.23,68.88,441.51
8493,19.81,43.56,1013.39,38.13,460.59
7286,26.54,71.98,1005.8,91.16,431.78
5675,3.51,35.47,1017.53,86.56,489.07
66,5.23,40.78,1025.13,92.74,483.12
2548,23.16,57.76,1017.74,63.79,451.79
3836,13.75,44.47,1029.63,70.74,467.14
7855,17.79,43.52,1020.65,68.29,458.57
8110,9.73,40.22,1011.48,87.88,481.42
3720,24.93,47.01,1015.12,64.8,455.39
5763,27.99,71.58,1010.68,68.99,435.99
5316,28.25,71.77,1006.36,67.03,429.39
2497,29.6,69.82,1010.49,61.66,438.47
2652,27.75,70.4,1006.65,90.21,436.53
4064,32.67,67.83,1007.81,42.16,425.75
1202,6.8,41.16,1023.17,95.4,477.8
4310,24.84,71.73,1009.84,82.41,436.36
6385,20.76,70.72,1009.73,89.04,448.85
1587,15.75,36.99,1007.67,93.8,464.38
3919,24.27,60.23,1011.84,77.8,438.99
4071,23.27,60.84,1019.13,67.24,440.22
8824,9.75,36.66,1026.21,70.12,479.45
5224,30.14,67.69,1006.54,57.05,426.91
1646,9.07,40.67,1014.41,70.39,484.5
8125,34.18,67.9,1005.87,30.34,425.5
6183,15.06,39.3,1019.63,63.32,464.15
7117,15.71,44.06,1018.34,71.69,465.05
1800,18.65,52.08,1005.48,99.94,449.55
2710,24.82,66.54,1010.0,60.36,440.88
6790,13.52,42.34,1017.97,95.34,463.71
9470,23.71,60.23,1009.76,90.67,439.66
1101,12.82,41.58,1020.37,81.06,464.07
8906,23.33,72.99,1009.33,89.41,440.04
855,17.48,46.21,1014.02,80.78,455.35
3742,26.43,51.43,1006.3,71.48,441.01
7980,21.08,52.05,1012.28,45.25,453.4
8244,14.74,42.77,1017.71,76.59,463.61
321,26.53,54.2,1012.9,66.73,439.96
5269,24.82,72.99,1007.81,84.72,435.68
4838,15.89,41.7,1018.93,82.68,463.33
1410,29.91,70.02,1010.18,64.1,437.63
8814,18.4,43.69,1016.59,52.44,462.05
8590,17.3,57.76,1016.26,87.74,455.75
2439,28.52,57.82,1004.81,57.82,435.4
7820,22.67,62.52,1016.47,65.63,449.34
2863,6.26,41.31,1002.04,87.54,485.57
5916,20.97,44.63,1007.64,73.69,453.26
930,13.91,39.35,1014.69,75.51,469.02
7576,12.41,39.28,1017.08,87.02,473.86
4321,23.77,64.15,1021.02,55.87,448.43
7029,24.37,63.47,1012.77,75.22,445.6
6032,9.08,36.71,1025.07,81.32,479.02
7545,23.35,63.47,1011.78,84.24,437.87
81,31.66,73.91,1004.49,68.13,431.26
5537,26.99,68.12,1011.45,58.48,436.95
1589,20.85,59.21,1012.9,75.97,444.44
5867,14.05,40.71,1016.36,68.58,465.74
7759,33.5,70.8,1008.99,57.24,433.19
5644,21.06,67.07,1004.9,84.09,446.44
5070,22.49,58.71,1009.75,76.43,443.33
1654,25.35,72.99,1007.65,84.09,436.29
1751,19.46,42.04,1011.3,60.45,466.24
2679,28.83,72.43,1006.69,67.04,428.85
6154,30.91,70.32,1011.92,65.59,433.71
5719,9.52,39.61,1021.18,73.78,478.79
5854,26.53,65.61,1014.29,50.9,442.64
8072,6.44,39.33,1011.8,93.5,490.57
1049,11.87,36.43,1023.42,79.5,474.17
6573,7.33,41.16,1023.17,92.43,466.16
3309,27.58,71.97,1008.51,87.99,430.53
2264,18.83,63.91,1010.8,96.18,448.15
1120,16.57,63.31,1016.19,81.02,454.78
3757,26.57,73.21,1002.31,92.51,431.68
8123,25.8,65.38,1009.3,52.28,450.5
7648,25.85,67.69,1007.7,70.14,434.0
8468,9.97,41.26,1020.6,91.14,475.43
7574,22.76,44.05,1006.95,74.07,450.31
2880,23.03,44.89,1010.26,59.85,447.81
4732,30.24,68.24,1009.68,64.67,426.25
6353,18.55,41.85,1015.24,62.47,467.51
4569,8.01,40.02,1031.33,85.01,477.84
479,26.53,65.18,1012.77,64.37,437.39
6639,30.7,69.59,1008.03,66.78,433.4
5957,22.61,45.38,1013.92,62.91,459.53
1262,6.1,40.07,1020.21,67.24,494.43
2445,15.46,44.6,1017.7,68.2,459.62
1709,24.27,70.47,1008.96,78.31,434.24
4332,6.41,40.81,1026.57,93.51,484.49
329,9.2,39.82,1013.19,91.25,482.89
5352,19.55,39.39,1013.55,57.82,464.36
7502,12.34,43.22,1009.28,78.23,468.52
2900,19.3,44.9,1008.89,70.55,452.75
8013,19.43,52.9,1017.16,67.41,458.46
4765,26.26,63.73,1010.45,70.61,442.18
9530,21.93,62.91,1013.45,74.62,449.17
9323,18.73,40.12,1013.19,74.12,454.71
6169,14.26,42.86,1011.33,88.37,471.19
8561,17.94,62.1,1019.81,82.65,453.55
9408,12.41,40.96,1023.36,78.96,473.59
5666,15.74,43.71,1024.7,78.38,462.66
4593,11.53,41.14,1025.63,88.54,469.04
8082,27.14,63.13,1013.38,75.68,438.82
3134,4.31,38.5,1011.75,82.08,492.92
3846,30.9,69.4,1003.53,66.69,425.3
7120,24.83,62.4,1010.13,70.18,442.2
7411,10.89,44.2,1018.3,86.32,479.16
1263,12.64,41.26,1020.79,83.66,465.78
1626,22.68,50.78,1008.83,70.3,447.69
4468,28.46,73.67,1005.67,71.21,429.15
8172,9.14,40.6,1015.34,88.91,483.57
1103,16.99,40.89,1011.54,64.51,464.95
5616,29.9,74.99,1002.28,59.76,436.77
8050,12.11,41.17,1019.46,62.59,475.53
2483,11.86,40.27,1008.06,72.91,474.57
4242,19.67,59.39,1014.07,77.67,447.61
6903,29.62,73.18,1012.21,61.6,427.22
4651,25.9,59.54,1007.3,78.38,439.36
4454,5.43,39.9,1007.5,86.27,487.84
8616,22.16,58.82,1009.61,87.16,444.76
2096,22.55,70.79,1006.19,92.56,436.43
7961,26.67,59.44,1012.01,58.83,441.29
1005,31.27,69.13,1009.45,57.01,425.48
2554,34.43,68.51,1010.17,34.09,431.39
4946,28.26,72.43,1006.68,72.3,426.2
3388,19.83,63.94,1019.81,75.05,448.03
4774,28.09,70.02,1010.84,51.29,437.83
8073,5.71,45.87,1012.04,93.42,482.49
9347,13.48,39.35,1014.56,81.25,470.66
6587,23.95,73.67,1007.32,87.67,437.43
3262,15.45,46.63,1012.6,85.47,464.37
8486,20.3,62.52,1017.96,75.17,451.86
6730,20.95,44.89,1010.48,67.97,450.39
99,7.91,39.96,1023.57,88.44,475.52
714,27.26,73.18,1012.58,74.83,429.92
4255,13.44,41.14,1026.41,77.26,461.44
7069,21.7,60.77,1018.07,88.15,444.66
3428,9.32,37.73,1022.14,79.49,477.91
1462,23.93,68.28,1005.16,69.91,444.95
4810,33.37,71.37,1003.75,45.26,432.67
4540,24.0,58.05,1011.28,74.32,447.16
7060,32.49,74.99,1002.19,34.58,435.43
226,15.01,39.52,1017.53,72.0,468.02
1705,28.74,70.32,1008.15,45.99,431.93
6058,21.71,76.86,1006.71,76.86,438.41
1215,12.19,40.05,1014.65,85.1,472.68
3853,18.25,60.1,1009.72,90.15,456.25
2359,14.46,53.82,1016.55,68.11,462.6
8243,11.76,40.96,1023.22,81.31,475.18
482,8.14,39.96,1023.41,88.86,477.05
5504,21.12,63.91,1009.33,96.14,447.64
4626,27.63,71.98,1005.45,82.88,426.0
6102,27.0,69.34,1008.88,74.4,439.26
5091,16.3,38.73,1001.79,73.45,465.7
8869,29.09,72.43,1006.86,65.47,427.3
591,20.96,61.27,1019.99,67.32,448.77
2793,31.8,69.05,1000.77,49.82,426.5
102,22.92,61.9,1013.27,78.32,446.08
5660,24.76,63.07,1012.73,70.39,443.04
1982,16.48,68.28,1004.27,99.89,449.7
7582,32.9,68.51,1012.95,50.09,430.23
9129,24.35,70.04,1010.92,73.88,438.4
1631,25.52,67.17,1007.33,85.12,440.02
1402,11.28,40.55,1006.23,97.78,475.14
9132,27.84,72.39,1001.18,83.46,432.19
894,28.09,65.27,1013.27,51.96,440.0
9066,23.02,69.94,1007.94,64.66,439.4
6207,8.72,36.25,1029.31,85.73,479.94
7453,16.82,45.0,1022.05,37.28,468.22
5172,32.11,78.05,1010.36,58.78,431.31
4249,24.6,67.69,1008.67,67.69,440.22
1617,26.38,69.88,1008.42,86.25,432.25
1160,15.52,41.93,1022.97,52.92,471.97
6804,17.49,63.94,1020.02,82.6,452.71
3652,14.81,42.03,1017.43,72.54,470.41
6973,16.78,37.2,1011.97,68.94,471.24
4671,11.02,41.17,1018.18,86.86,477.62
7129,7.92,36.08,1021.01,81.84,482.98
2035,14.43,44.84,1024.34,84.0,467.45
5267,26.76,70.98,1007.64,90.51,437.83
1018,22.21,61.5,1008.34,76.22,445.77
3666,26.16,67.9,1005.81,61.02,444.06
8950,17.29,44.63,1019.6,41.98,460.66
1602,22.75,70.94,1008.03,81.95,439.91
148,10.25,41.26,1007.44,98.08,476.03
5853,25.76,57.32,1011.93,43.61,440.26
8659,13.93,40.2,1013.41,89.86,466.47
4439,19.69,56.65,1020.72,70.86,456.18
2102,26.8,58.84,1001.2,65.03,445.76
8081,25.3,71.29,1007.86,62.98,437.17
5183,31.87,71.22,1006.16,45.66,437.0
1767,25.64,50.05,1006.97,67.72,440.86
3884,25.99,59.54,1007.78,74.48,441.32
2908,10.57,41.26,1008.32,97.96,472.9
8826,20.61,65.61,1014.91,83.82,449.72
7635,9.81,71.14,1019.43,87.93,469.64
7052,24.37,65.61,1014.5,65.67,443.13
5805,15.11,45.01,1017.01,84.39,462.21
151,18.58,44.6,1016.61,48.15,459.06
1456,22.02,64.45,1012.57,47.87,454.9
7856,7.55,42.85,1011.21,93.25,484.93
3275,15.12,43.79,1016.37,75.62,470.11
3023,3.4,39.64,1011.1,83.43,459.86
6878,24.42,63.07,1011.49,67.39,444.72
4887,11.03,42.32,1017.26,90.56,470.92
1712,22.0,51.3,1012.87,85.79,450.18
5049,22.59,66.54,1005.11,92.62,436.69
1467,32.39,79.74,1006.92,58.58,430.12
7148,22.92,60.37,1007.05,89.94,438.86
5236,16.5,53.29,1017.7,95.66,458.37
7722,26.26,73.06,1009.35,91.65,435.41
179,27.58,66.48,1004.82,51.23,435.34
3804,26.9,69.59,1008.9,85.08,434.1
804,24.62,68.31,1010.45,75.18,448.58
5754,13.63,43.5,1022.12,84.32,468.28
7203,27.32,76.09,1007.77,74.64,443.13
3633,12.06,52.72,1024.53,80.05,467.21
5437,19.92,63.31,1015.02,82.71,443.54
5735,13.08,39.82,1012.27,85.21,476.96
6250,11.46,39.82,1012.09,86.2,477.99
3621,13.83,45.08,1024.2,80.52,465.5
1653,16.32,43.14,1014.72,70.43,465.38
5400,31.98,70.17,999.43,59.42,430.92
2123,16.72,44.78,1007.75,56.79,453.39
3416,15.33,52.05,1014.15,80.56,452.82
2183,13.51,43.22,1009.63,75.02,465.89
3251,32.74,68.31,1010.23,41.29,441.66
5841,17.51,41.85,1016.25,72.03,465.05
1561,24.35,58.49,1011.03,70.64,445.6
7348,17.81,45.0,1022.32,43.84,471.0
7963,16.71,42.99,1007.72,75.35,465.09
4410,27.88,63.87,1017.79,40.0,443.24
8134,29.05,65.74,1013.29,60.02,440.74
2083,18.48,58.59,1015.61,85.14,452.52
9092,23.12,69.71,1008.98,84.41,442.21
7259,19.77,65.06,1016.22,74.95,448.26
1540,22.03,64.69,1007.21,75.75,440.92
9154,14.03,41.79,1008.07,83.32,457.98
381,14.48,44.06,1018.73,75.88,467.46
7002,21.31,58.66,1012.67,69.36,451.96
2271,11.56,40.71,1015.85,76.08,469.17
3333,17.0,49.78,1005.32,100.1,453.77
2928,23.31,68.63,1014.73,51.57,448.2
8115,22.68,70.47,1010.86,82.8,441.47
3634,30.24,73.9,1006.74,56.39,441.31
6337,18.59,43.14,1011.92,52.63,464.48
295,4.11,38.44,1015.9,81.79,488.05
9535,6.22,38.68,1017.87,69.41,483.55
7400,13.86,37.85,1011.4,89.7,469.94
626,20.94,58.16,1016.88,65.43,455.16
1710,13.35,41.16,1011.32,89.12,474.57
205,15.6,43.71,1024.88,80.37,463.34
8934,19.81,66.54,1013.88,80.09,449.07
3264,20.74,58.12,1015.43,77.88,449.91
3763,19.8,52.9,1017.75,66.67,456.64
8940,14.56,39.39,1014.23,80.61,471.72
4965,25.81,66.51,1016.53,62.19,437.57
3626,16.97,44.92,1025.21,74.27,460.21
8301,20.15,49.5,1013.47,66.7,462.65
4227,12.87,39.3,1020.64,74.38,467.54
4314,12.53,43.56,1014.8,74.05,469.23
2859,29.64,69.51,1012.13,44.65,428.69
1832,18.21,39.54,1009.81,70.92,461.73
6138,22.78,71.77,1005.26,89.23,435.46
6614,12.61,41.58,1020.17,85.18,463.36
2641,8.05,40.8,1028.01,89.56,483.43
2903,20.47,58.16,1016.97,68.6,453.99
8404,23.87,60.27,1018.94,77.16,439.86
1672,21.26,60.84,1018.43,78.83,446.08
2339,21.88,59.39,1015.58,87.19,442.92
4701,18.95,65.48,1018.17,71.85,452.85
5870,27.93,73.68,1015.41,49.95,435.95
2808,13.15,40.78,1024.13,79.59,462.3
4493,7.11,41.74,1022.35,90.68,487.85
7825,31.88,70.36,1006.2,57.51,438.42
6914,32.95,75.08,1005.32,47.7,436.3
7225,23.46,51.19,1009.6,73.22,444.82
5268,19.98,49.15,1021.56,63.89,457.54
3807,19.94,44.63,1004.73,78.48,455.58
5663,22.22,48.98,1015.87,53.18,447.1
4301,29.99,74.9,1003.84,64.43,435.87
8808,23.58,49.3,1003.8,74.62,440.44
7295,11.61,52.75,1020.94,77.56,464.68
3914,9.7,40.11,1026.61,75.48,473.97
187,23.81,73.17,1012.13,86.13,438.11
6832,14.12,39.52,1018.41,78.32,465.09
4341,24.87,68.61,1011.19,55.69,450.54
797,21.12,62.96,1020.83,69.96,454.65
8776,13.86,41.78,1010.75,57.9,467.39
5413,31.93,72.58,1006.9,56.27,425.14
1882,29.93,71.85,1008.43,66.64,426.82
5688,25.33,71.32,1007.05,85.31,434.68
3217,20.45,48.41,1010.81,86.7,444.69
7818,13.01,41.17,1017.26,76.2,469.48
2384,33.3,68.14,1003.02,53.43,426.88
7649,19.75,57.32,1010.76,79.29,443.63
2975,16.32,43.5,1021.3,72.6,460.07
9310,15.55,45.09,1014.33,62.19,457.36
3111,33.82,73.03,1013.49,42.17,439.3
57,23.7,69.23,1011.73,73.18,437.15
8071,18.62,44.06,1017.76,64.59,452.82
8362,28.29,68.08,1010.77,53.92,430.93
2719,31.95,70.8,1008.38,66.26,432.79
477,25.1,60.37,1005.83,72.53,438.44
8155,28.5,64.84,1011.47,54.41,441.74
4365,12.27,49.83,1007.75,92.02,467.1
1506,14.5,41.76,1023.94,84.42,464.23
7833,15.21,35.4,1016.31,58.26,468.18
5769,35.1,68.27,1006.96,43.51,426.3
3552,29.09,75.33,1001.61,71.06,433.29
6513,24.19,47.45,1008.26,64.25,446.3
2754,26.06,71.73,1009.65,77.02,432.38
4179,10.32,41.01,1021.04,95.3,467.81
6356,13.5,54.3,1016.2,77.46,468.92
4361,6.37,40.81,1025.98,91.0,489.18
4560,16.8,44.9,1009.14,79.78,456.42
7318,23.92,71.98,1006.22,92.96,433.23
7082,24.54,57.85,1013.02,65.61,444.93
6057,9.49,40.69,1015.09,91.31,476.67
6735,12.67,42.86,1014.06,89.9,473.13
5253,25.2,59.21,1017.54,55.53,444.16
2926,33.61,69.88,1007.4,42.51,435.99
7291,26.44,71.64,1004.55,85.53,435.61
1204,17.98,60.1,1009.61,84.11,452.57
7370,18.5,41.85,1015.81,64.78,466.8
8801,27.52,67.9,1005.65,59.52,439.01
6203,26.72,56.9,1007.12,58.54,435.16
7568,17.52,44.05,1008.87,85.67,455.72
432,13.78,41.16,1021.65,75.77,460.44
3615,30.74,71.77,1006.24,53.38,434.89
2610,27.98,74.78,1009.46,63.11,436.82
2553,22.55,47.45,1008.65,67.9,447.42
4919,28.41,75.6,1018.48,56.07,440.28
4614,27.16,56.85,1012.07,39.05,437.4
1980,30.39,71.8,1010.87,64.11,435.82
166,21.41,56.9,1007.03,79.41,441.41
2307,4.96,45.87,1007.32,98.78,481.88
221,22.24,60.07,1015.93,62.25,446.14
5131,13.83,43.22,1010.62,70.8,464.39
6811,6.5,38.68,1017.8,62.9,483.72
811,19.75,49.02,1009.38,92.89,446.63
9563,15.12,48.92,1011.8,72.93,462.59
8029,13.84,42.18,1015.74,79.76,468.66
1033,14.46,45.87,1009.21,84.09,464.5
4427,18.86,50.78,1008.46,91.67,446.7
3389,16.88,43.67,1011.43,73.98,463.81
2265,24.6,63.94,1012.87,80.28,439.63
5228,13.21,40.03,1018.12,82.98,469.75
1652,20.87,57.19,1006.5,77.0,445.95
7800,9.43,41.4,1028.42,84.92,479.28
7413,24.35,66.49,1012.48,62.12,439.15
3427,6.99,35.19,1019.32,68.95,480.05
4007,14.02,40.75,1016.05,70.65,470.48
5221,10.59,39.96,1025.87,97.05,468.96
2228,16.51,41.79,1007.1,74.03,457.74
715,12.45,43.67,1013.61,91.34,474.27
6210,17.7,50.88,1015.44,89.57,456.78
4095,24.67,58.05,1011.31,69.95,444.57
120,14.97,43.67,1011.13,87.33,465.54
4688,35.01,74.67,1016.1,26.3,428.48
7935,22.69,59.44,1012.97,83.47,446.43
6014,21.98,59.39,1015.25,84.52,446.79
6245,19.67,44.89,1009.43,73.88,455.2
8131,25.96,68.08,1010.86,67.07,435.84
5,13.97,39.16,1016.05,84.6,470.96
5698,6.65,40.77,1021.79,88.84,482.9
5072,27.39,69.14,1008.82,78.35,435.22
2730,14.53,39.0,1016.48,76.36,464.86
5280,22.53,60.95,1015.12,75.1,449.43
8139,24.17,59.44,1012.66,78.53,447.13
3002,21.28,44.05,1005.69,83.2,444.56
3103,17.3,43.72,1009.64,77.86,456.55
6554,32.28,75.33,1002.14,62.49,433.42
8461,23.39,74.22,1009.83,86.05,439.92
5850,8.51,34.69,1026.96,75.34,481.83
3078,25.73,66.54,1010.07,55.97,437.07
2200,9.41,39.61,1016.14,78.38,477.34
1418,28.29,61.86,1011.87,64.17,438.25
4122,26.06,65.34,1014.07,57.63,444.55
7126,6.01,35.79,1011.05,91.33,482.25
7270,6.4,39.18,1024.6,86.83,484.44
3806,28.39,51.43,1011.74,47.54,449.63
5532,23.57,70.04,1011.06,82.79,437.53
2651,18.32,47.83,1005.06,87.21,454.11
8650,31.25,74.34,999.06,69.85,432.22
3684,12.65,44.34,1014.74,92.81,473.46
7553,11.06,37.92,1008.76,67.32,473.16
7401,22.57,68.3,1017.43,87.69,440.81
7214,19.76,58.79,1017.37,89.09,449.76
427,24.59,71.94,1006.89,88.52,430.28
4518,20.55,68.63,1012.5,67.07,453.47
9111,16.07,44.58,1019.52,67.95,471.36
1145,10.56,40.22,1005.08,89.71,478.02
7338,19.97,59.21,1017.87,83.46,450.41
5142,26.13,79.74,1005.61,90.27,431.29
7626,22.48,67.45,1014.77,63.9,445.55
8975,26.75,69.45,1013.88,53.65,434.57
9140,28.43,69.59,1008.79,73.33,439.26
5356,25.77,59.39,1014.76,69.99,438.64
7616,9.55,39.66,1018.8,74.88,480.74
8275,15.04,38.01,1022.46,78.29,468.12
8015,13.87,38.01,1022.61,84.22,473.39
2578,21.33,60.1,1010.97,78.36,451.95
6026,14.6,42.32,1015.71,77.03,464.67
2042,17.68,40.89,1011.24,61.37,462.08
8087,12.88,43.8,1023.19,59.18,468.19
8451,18.98,38.52,1018.85,63.16,454.6
6263,25.45,67.83,1009.47,57.97,429.95
944,19.36,39.54,1008.97,58.92,458.75
469,19.62,43.56,1012.89,37.6,463.33
4933,15.0,40.66,1016.28,89.62,456.63
1704,14.31,40.78,1024.3,76.41,463.54
7329,14.47,42.86,1031.55,66.73,466.64
191,19.68,68.28,1002.62,71.57,452.47
7789,7.91,37.8,1020.59,61.0,483.49
9318,12.93,43.13,1014.91,55.7,474.88
6801,17.95,59.15,1012.73,84.27,449.14
6635,25.08,61.02,1010.01,73.21,437.31
7529,24.7,58.46,1015.58,68.64,439.7
2479,27.49,71.94,1006.62,73.35,435.29
9395,8.87,41.16,1023.17,94.13,472.45
4174,11.24,25.36,1009.26,97.47,469.92
699,12.57,39.3,1019.57,72.44,473.67
5948,7.06,41.74,1021.95,90.38,448.97
3172,26.62,70.36,1005.15,84.99,441.28
220,21.14,48.78,1020.39,86.2,450.35
1021,21.18,70.02,1010.27,96.46,442.51
4730,26.39,66.49,1012.96,60.35,433.36
328,21.84,45.09,1013.94,46.11,450.88
6530,28.68,70.72,1009.43,71.33,435.45
3024,28.12,44.89,1009.18,47.14,441.13
7674,24.65,52.36,1014.76,66.63,455.68
6881,10.15,41.14,1025.5,91.54,473.56
5568,23.39,64.63,1020.45,58.22,449.27
9125,31.63,65.74,1010.83,50.59,437.54
9084,26.54,69.48,1010.7,66.09,432.56
4990,25.09,71.58,1010.17,86.01,434.51
7929,21.17,59.8,1016.06,77.73,455.66
3411,6.67,39.37,1019.99,75.61,486.84
7081,5.71,41.31,1003.24,89.48,485.83
5206,12.45,40.81,1025.63,66.26,474.73
717,28.12,73.42,1011.49,80.16,435.46
1864,13.91,40.24,1017.03,85.93,466.24
3470,28.71,51.43,1006.4,64.79,440.17
437,5.7,40.35,1012.18,91.57,488.8
4543,21.73,64.63,1020.84,68.9,450.36
4,11.8,40.66,1017.13,97.2,464.43
4240,27.78,70.8,1009.81,79.57,431.44
6168,22.86,47.43,1009.75,61.54,452.53
5467,31.38,71.32,1009.17,60.42,433.44
1259,11.92,40.55,1016.91,100.07,472.45
3734,21.96,48.78,1019.56,85.05,451.58
4714,24.45,68.63,1013.38,45.35,446.33
2310,17.03,47.83,1004.94,79.68,460.43
4654,25.06,44.57,1007.39,56.07,443.66
9441,22.7,64.05,1012.65,89.69,448.76
2930,13.78,44.47,1027.94,71.09,467.22
5636,20.54,68.12,1012.23,81.06,440.28
2493,25.6,73.67,1005.78,84.82,433.25
2324,10.75,45.0,1023.68,89.37,481.96
4664,26.34,69.04,1009.44,72.06,444.13
5667,27.24,77.17,1009.37,81.51,439.12
4821,8.81,43.14,1012.46,73.99,481.56
640,30.86,70.32,1011.88,62.68,433.71
3270,30.39,70.98,1007.55,72.76,435.48
7641,32.51,71.22,1005.62,47.6,433.76
4857,28.03,68.67,1005.52,58.16,438.8
3319,27.76,44.89,1009.4,50.15,442.83
2815,21.04,47.43,1007.15,64.82,450.27
2611,19.54,54.9,1017.15,70.37,455.86
3841,8.57,40.69,1020.87,84.15,485.18
4579,12.56,41.4,1019.23,74.26,472.54
5210,8.46,39.66,1015.14,85.38,484.16
6843,23.24,51.95,1006.21,78.08,448.5
5801,22.45,59.87,1018.92,72.73,445.34
7974,28.07,66.17,1010.58,64.11,443.77
3480,24.16,48.98,1015.19,42.55,459.27
3265,11.36,40.75,1016.34,85.19,477.5
