,carat,cut,color,clarity,depth,table,x,y,z,price
192,0.33,Premium,G,VVS2,61.3,59.0,4.42,4.45,2.72,722
193,1.21,Good,J,SI2,63.7,55.0,6.81,6.75,4.32,4269
194,1.51,Premium,G,VS1,62.6,60.0,7.28,7.19,4.53,14507
195,0.73,Premium,H,VS2,61.0,58.0,5.84,5.76,3.54,2519
196,0.7,Ideal,G,VVS1,62.8,57.0,5.63,5.68,3.55,3165
197,0.35,Ideal,F,VS2,60.8,57.0,4.56,4.52,2.76,906
198,1.5,Very Good,G,VS2,62.5,59.0,7.23,7.27,4.53,12672
199,0.39,Very Good,G,SI1,62.5,55.0,4.68,4.7,2.93,694
200,0.31,Ideal,D,VS2,59.4,57.0,4.5,4.45,2.66,879
201,0.7,Ideal,F,VS2,62.2,55.0,5.66,5.72,3.54,2676
202,1.23,Ideal,J,VS1,62.2,55.0,6.83,6.86,4.26,6100
203,0.52,Ideal,D,SI1,61.8,57.0,5.19,5.14,3.19,1720
204,0.42,Very Good,G,VS2,62.1,55.0,4.8,4.83,2.99,854
205,1.02,Ideal,J,VS2,60.7,57.0,6.5,6.54,3.96,4397
206,1.5,Fair,I,I1,65.1,59.0,7.12,6.96,4.58,5040
207,2.08,Ideal,J,SI2,62.3,55.0,8.23,8.17,5.11,12179
208,1.06,Premium,H,SI2,62.6,58.0,6.52,6.46,4.06,4031
209,0.32,Ideal,I,VS1,60.9,56.7,4.41,4.44,2.69,529
210,0.7,Good,I,VVS2,63.3,55.0,5.61,5.67,3.57,2394
211,0.92,Very Good,E,SI2,63.2,54.0,6.29,6.25,3.96,3679
212,0.4,Premium,H,VS1,62.4,60.0,4.69,4.74,2.94,807
213,0.33,Ideal,H,IF,61.6,55.0,4.48,4.51,2.77,838
214,1.13,Premium,H,SI1,62.3,58.0,6.68,6.67,4.16,5194
215,0.3,Ideal,E,SI1,62.4,57.0,4.27,4.29,2.67,499
216,0.31,Ideal,F,VS2,62.0,56.0,4.35,4.39,2.71,625
217,0.24,Ideal,F,VS2,61.8,57.0,4.02,3.97,2.47,536
218,0.35,Ideal,E,VS2,61.9,54.0,4.53,4.58,2.82,923
219,1.17,Ideal,H,SI2,62.3,57.0,6.78,6.74,4.21,5111
220,1.62,Ideal,H,VS2,62.4,57.0,7.48,7.53,4.68,11114
221,1.5,Fair,J,SI1,64.9,58.0,7.09,7.03,4.58,6006
222,2.11,Premium,G,SI2,62.2,58.0,8.19,8.23,5.11,13598
223,0.31,Ideal,F,VS2,62.7,57.0,4.34,4.3,2.71,802
224,1.7,Very Good,I,VS1,61.9,57.0,7.67,7.64,4.74,12621
225,1.2,Premium,F,VS2,60.1,57.0,6.82,6.76,4.08,7865
226,0.52,Very Good,E,SI2,61.8,54.0,5.15,5.18,3.19,1120
227,0.5,Good,F,VS2,61.3,61.0,5.05,5.1,3.11,1447
228,1.0,Good,H,SI1,64.9,56.0,6.24,6.31,4.07,4276
229,0.45,Fair,F,VS2,65.8,55.0,4.81,4.73,3.14,1102
230,0.4,Ideal,D,VVS1,61.1,56.0,4.77,4.82,2.93,1665
231,1.13,Ideal,G,VVS2,61.5,57.0,6.67,6.71,4.12,8889
232,0.91,Premium,E,SI2,62.8,59.0,6.16,6.13,3.86,3898
233,0.34,Ideal,H,VVS1,61.1,56.0,4.51,4.56,2.77,751
234,0.31,Very Good,I,SI2,60.6,61.0,4.4,4.45,2.68,383
235,0.31,Ideal,F,VVS1,62.1,56.0,4.35,4.38,2.71,897
236,1.01,Very Good,F,VVS2,60.7,59.0,6.4,6.46,3.9,7835
237,0.42,Premium,D,SI1,61.1,60.0,4.79,4.83,2.94,810
238,0.46,Very Good,F,SI2,61.5,56.0,4.98,5.01,3.07,809
239,0.3,Ideal,E,I1,60.3,57.0,4.39,4.36,2.64,495
240,2.01,Good,H,SI1,60.9,65.0,8.22,8.18,4.99,15618
241,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,8775
242,1.66,Ideal,H,VS1,62.0,55.0,7.61,7.67,4.74,15210
243,0.35,Very Good,D,VS2,62.8,58.0,4.47,4.51,2.82,685
244,0.57,Premium,I,VVS1,62.1,58.0,5.32,5.25,3.28,1728
245,0.32,Ideal,E,VVS1,60.7,55.0,4.42,4.45,2.69,860
246,1.08,Ideal,H,SI1,61.8,54.0,6.6,6.61,4.09,5517
247,0.32,Premium,H,VS1,60.5,59.0,4.42,4.41,2.67,720
248,1.01,Very Good,F,VS2,61.0,59.0,6.39,6.46,3.92,5560
249,0.77,Good,D,VS2,63.1,57.0,5.83,5.86,3.69,3489
250,0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,2456
251,0.32,Ideal,D,VS2,61.8,57.0,4.36,4.35,2.69,972
252,0.71,Very Good,E,VS1,61.5,57.0,5.74,5.77,3.54,3192
253,0.37,Ideal,F,VVS1,61.5,56.0,4.59,4.61,2.83,931
254,1.4,Premium,H,VS2,62.9,55.0,7.15,7.06,4.47,8847
255,0.9,Very Good,I,VS2,61.6,57.0,6.13,6.17,3.79,3581
256,0.53,Very Good,E,SI2,58.3,62.0,5.3,5.36,3.11,1160
257,1.13,Ideal,G,VS2,62.7,57.0,6.65,6.68,4.18,6525
258,1.52,Ideal,E,VS2,62.2,57.0,7.34,7.38,4.58,15239
259,1.8,Ideal,D,SI2,62.9,54.0,7.77,7.74,4.88,7862
260,0.43,Good,D,VS2,59.9,61.0,4.84,4.88,2.91,976
261,1.68,Premium,J,SI2,59.2,57.0,7.83,7.72,4.6,7652
262,0.41,Ideal,E,SI2,62.8,57.0,4.73,4.7,2.96,876
263,0.32,Ideal,G,IF,61.5,55.0,4.43,4.45,2.73,918
264,0.32,Very Good,E,VVS1,60.4,57.0,4.42,4.46,2.68,917
265,0.24,Premium,E,VVS1,60.7,58.0,4.03,4.01,2.44,710
266,1.09,Ideal,E,VS2,61.2,56.0,6.62,6.67,4.07,7443
267,0.65,Ideal,H,VVS2,61.6,58.0,5.56,5.6,3.44,2210
268,1.2,Ideal,J,SI2,59.1,62.0,6.97,6.94,4.11,4509
269,1.03,Very Good,G,VS1,62.2,57.0,6.42,6.47,4.01,6539
270,2.08,Premium,F,SI2,62.0,60.0,8.15,8.1,5.04,13437
271,1.12,Ideal,I,VS1,60.9,57.0,6.7,6.73,4.09,6060
272,1.1,Very Good,F,VS2,62.8,56.0,6.56,6.59,4.13,7174
273,0.41,Ideal,G,VVS1,60.8,56.0,4.82,4.85,2.94,1068
274,1.03,Premium,H,VS2,63.0,59.0,6.47,6.36,4.04,5364
275,1.41,Ideal,G,VS1,60.4,57.0,7.22,7.31,4.39,11009
276,0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080
277,0.71,Premium,D,VS2,59.2,59.0,5.8,5.86,3.45,3217
278,0.23,Very Good,E,VVS1,62.2,59.0,3.92,3.96,2.45,465
279,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,1076
280,0.71,Premium,E,SI2,60.5,59.0,5.78,5.75,3.49,2340
281,0.3,Good,I,IF,63.3,57.0,4.23,4.3,2.7,631
282,0.42,Ideal,G,VS1,62.0,55.0,4.78,4.83,2.98,921
283,0.24,Very Good,F,VS1,59.3,57.0,4.07,4.12,2.43,393
284,1.59,Ideal,I,SI1,60.2,57.0,7.56,7.72,4.6,9813
285,0.31,Premium,H,VS2,59.7,61.0,4.42,4.39,2.63,628
286,1.21,Premium,H,SI1,62.4,56.0,6.83,6.79,4.25,6566
287,0.7,Very Good,I,SI1,63.8,59.0,5.56,5.6,3.56,1890
288,0.39,Premium,F,VS1,61.7,58.0,4.71,4.69,2.9,956
289,1.11,Ideal,I,SI1,61.9,57.0,6.62,6.67,4.11,4709
290,0.31,Good,I,SI1,64.3,55.0,4.29,4.27,2.75,488
291,0.7,Good,I,SI2,63.4,59.0,5.66,5.57,3.56,1699
292,0.77,Ideal,E,VS2,61.0,56.0,5.91,5.96,3.62,3303
293,0.71,Good,G,SI1,62.3,56.0,5.68,5.72,3.55,2251
294,2.09,Ideal,I,SI2,61.2,57.0,8.19,8.27,5.04,13807
295,0.37,Premium,E,VS2,59.1,60.0,4.66,4.68,2.76,811
296,1.53,Premium,F,SI1,62.0,56.0,7.47,7.39,4.61,11370
297,0.9,Good,G,SI1,60.0,61.0,6.19,6.22,3.72,3752
298,1.23,Premium,I,VS2,61.1,60.0,6.95,6.89,4.23,6206
299,2.01,Premium,G,SI1,61.8,59.0,8.15,8.09,5.02,15105
300,0.62,Very Good,F,SI2,63.1,52.0,5.39,5.53,3.45,1348
301,1.31,Premium,I,SI1,62.0,58.0,7.01,6.98,4.34,5282
302,0.62,Premium,G,SI1,59.6,58.0,5.63,5.56,3.34,1382
303,0.82,Premium,H,VS2,62.6,59.0,5.99,5.93,3.73,2939
304,0.85,Premium,G,SI2,62.0,58.0,6.08,6.04,3.76,2444
305,2.01,Very Good,J,SI2,61.0,57.0,8.09,8.14,4.95,11110
306,0.72,Ideal,F,VVS2,60.9,56.0,5.83,5.77,3.53,3780
307,0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
308,0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,893
309,0.5,Fair,I,VS1,66.9,56.0,4.85,4.81,3.23,969
310,0.57,Ideal,I,SI1,61.6,54.0,5.36,5.38,3.31,1113
311,0.9,Fair,G,I1,65.1,58.0,6.05,5.99,3.92,1939
312,0.54,Very Good,D,SI1,62.0,55.0,5.21,5.24,3.24,1662
313,0.56,Ideal,E,VS1,61.0,57.0,5.32,5.34,3.25,1978
314,1.1,Very Good,E,SI2,60.0,58.0,6.72,6.75,4.04,4539
315,1.28,Good,G,SI1,57.6,62.0,7.17,7.13,4.12,6175
316,0.33,Premium,D,SI1,60.1,59.0,4.49,4.46,2.69,780
317,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,524
318,1.22,Ideal,G,VVS2,60.0,58.0,6.95,6.99,4.18,11003
319,1.01,Very Good,G,IF,62.8,57.0,6.39,6.42,4.02,8621
320,0.7,Ideal,G,SI1,61.6,56.0,5.69,5.73,3.52,2478
321,0.7,Ideal,E,SI2,62.5,54.0,5.68,5.71,3.56,2283
322,1.36,Premium,G,SI1,60.6,59.0,7.21,7.17,4.36,7729
323,0.53,Ideal,G,VVS2,61.7,56.0,5.23,5.2,3.22,2051
324,1.01,Very Good,E,SI1,61.1,57.0,6.43,6.46,3.94,5339
325,1.0,Premium,H,SI2,59.8,61.0,6.24,6.17,3.71,3360
326,0.32,Premium,D,VS2,61.7,59.0,4.43,4.38,2.72,972
327,0.4,Very Good,H,VS1,61.8,53.0,4.76,4.78,2.95,770
328,1.01,Very Good,G,VS2,62.5,57.0,6.37,6.4,3.99,5679
329,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3,1777
330,0.41,Premium,E,VVS1,62.9,59.0,4.76,4.72,2.98,1431
331,0.33,Premium,H,VS1,61.9,58.0,4.45,4.43,2.75,743
332,0.29,Very Good,D,VS1,62.9,55.0,4.21,4.25,2.66,504
333,0.71,Ideal,F,I1,60.1,57.0,5.79,5.76,3.47,1761
334,2.13,Ideal,J,VS2,62.1,55.0,8.23,8.29,5.13,15258
335,0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,612
336,0.7,Very Good,F,VVS1,63.3,62.0,5.67,5.57,3.56,3204
337,0.59,Premium,H,SI1,62.4,58.0,5.42,5.35,3.36,1265
338,0.47,Good,E,SI2,56.5,62.0,5.17,5.09,2.9,844
339,0.41,Very Good,G,VS1,60.5,57.0,4.81,4.85,2.92,899
340,2.47,Ideal,J,SI2,62.1,57.0,8.64,8.57,5.34,15430
341,0.46,Ideal,I,SI1,61.9,55.0,4.97,4.98,3.08,850
342,1.0,Fair,G,VVS2,66.9,55.0,6.2,6.17,4.14,4534
343,0.32,Ideal,H,VVS2,62.2,54.0,4.42,4.46,2.76,628
344,1.01,Premium,G,VS1,62.7,56.0,6.46,6.36,4.02,6441
345,0.75,Very Good,E,SI1,61.5,58.0,5.82,5.86,3.59,2923
346,0.42,Ideal,G,VVS1,61.1,56.0,4.82,4.87,2.96,1179
347,1.09,Ideal,H,SI1,61.8,57.0,6.57,6.6,4.07,4965
348,2.06,Premium,H,SI2,62.6,58.0,8.06,8.03,5.04,12931
349,0.39,Ideal,F,SI2,62.2,55.0,4.68,4.71,2.92,587
350,0.77,Good,H,VVS2,64.3,57.9,5.7,5.86,3.71,2734
351,0.35,Ideal,E,SI1,61.6,55.0,4.55,4.57,2.81,744
352,0.56,Very Good,G,VS2,63.4,58.0,5.23,5.28,3.33,1590
353,0.27,Premium,H,VVS2,60.7,59.0,4.21,4.19,2.55,623
