,carat,cut,color,clarity,depth,table,x,y,z,price
94,0.53,Ideal,E,SI2,61.2,55.0,5.23,5.26,3.21,1229
95,1.26,Ideal,J,SI1,62.0,56.0,6.9,6.93,4.29,5301
96,0.38,Ideal,F,IF,62.2,54.0,4.68,4.71,2.92,1229
97,0.29,Ideal,H,VVS2,61.6,55.0,4.27,4.29,2.64,607
98,1.25,Premium,J,SI1,62.0,58.0,6.9,6.88,4.27,5166
99,0.9,Very Good,G,SI2,59.2,57.0,6.3,6.36,3.75,3303
100,1.24,Very Good,J,VS1,62.1,58.0,6.85,6.96,4.29,5783
101,1.0,Premium,E,SI2,58.5,61.0,6.52,6.48,3.8,4202
102,0.3,Very Good,H,VVS1,62.5,59.0,4.26,4.29,2.67,684
103,1.52,Premium,F,VS2,62.2,58.0,7.38,7.29,4.56,12985
104,0.9,Premium,H,SI1,62.4,56.0,6.13,6.05,3.8,3095
105,0.3,Ideal,F,IF,59.4,60.0,4.37,4.39,2.6,873
106,1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5014
107,1.03,Very Good,D,SI2,63.3,58.0,6.38,6.42,4.05,4963
108,1.0,Ideal,D,IF,60.7,57.0,6.44,6.48,3.92,16469
109,1.51,Premium,J,VS1,62.1,58.0,7.4,7.36,4.58,8524
110,0.57,Very Good,J,VS2,60.2,62.0,5.33,5.4,3.23,1072
111,0.31,Good,F,VS1,63.9,55.0,4.3,4.27,2.74,779
112,1.63,Ideal,F,I1,62.0,55.1,7.5,7.57,4.68,7100
113,1.26,Ideal,G,VS1,61.2,57.0,7.03,6.95,4.28,9032
114,0.3,Ideal,H,VS2,61.7,56.0,4.32,4.34,2.67,491
115,0.31,Ideal,E,VS1,61.8,56.0,4.33,4.34,2.68,734
116,0.29,Very Good,E,VVS1,59.5,61.0,4.29,4.31,2.56,609
117,1.24,Very Good,I,SI1,60.0,59.0,6.98,7.01,4.2,5584
118,0.53,Ideal,F,SI2,61.7,56.0,5.23,5.24,3.23,1142
119,0.43,Ideal,E,VS2,62.8,56.0,4.86,4.79,3.03,1048
120,0.52,Ideal,E,VS2,62.2,56.0,5.11,5.15,3.19,1689
121,1.51,Ideal,G,SI1,62.9,57.0,7.3,7.27,4.58,11255
122,0.88,Very Good,I,SI1,62.5,56.0,6.06,6.19,3.83,2699
123,0.5,Ideal,E,VS1,61.9,54.1,5.09,5.15,3.17,1759
124,0.52,Very Good,H,VS1,59.6,57.0,5.25,5.34,3.15,1320
125,0.9,Premium,H,VS1,62.4,58.0,6.19,6.15,3.85,4234
126,0.65,Good,G,VS1,60.0,60.4,5.6,5.7,3.39,2241
127,1.19,Ideal,G,VS1,62.4,54.0,6.78,6.81,4.24,9918
128,1.02,Premium,G,VS2,62.6,59.0,6.43,6.39,4.01,6087
129,1.02,Premium,F,SI2,62.5,60.0,6.36,6.43,4.0,4459
130,0.23,Very Good,D,VVS2,62.0,58.0,3.94,3.96,2.45,530
131,0.34,Premium,G,VS2,61.6,58.0,4.51,4.45,2.76,765
132,0.9,Very Good,D,SI1,61.7,60.0,6.14,6.17,3.8,4466
133,0.4,Ideal,I,VS2,62.4,53.0,4.75,4.77,2.97,667
134,0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4,2801
135,1.09,Very Good,H,SI1,61.8,58.0,6.58,6.63,4.08,4784
136,0.3,Ideal,E,SI1,61.9,57.0,4.29,4.33,2.67,526
137,1.04,Ideal,F,SI2,62.1,57.0,6.48,6.46,4.02,4754
138,0.32,Ideal,D,SI1,61.5,56.0,4.39,4.42,2.71,589
139,2.04,Very Good,J,VS2,62.4,57.0,8.04,8.19,5.06,13825
140,0.38,Very Good,G,VVS1,59.9,56.0,4.73,4.75,2.84,970
141,0.77,Good,E,SI2,64.1,56.0,5.84,5.77,3.72,2005
142,1.02,Ideal,J,VS2,60.7,57.0,6.5,6.54,3.96,4397
143,0.91,Very Good,H,VS2,62.6,57.0,6.15,6.21,3.87,4922
144,0.32,Very Good,E,VVS2,62.4,56.0,4.34,4.38,2.72,744
145,0.38,Very Good,D,VS2,63.1,55.0,4.6,4.59,2.9,1005
146,0.3,Very Good,I,VVS2,60.1,63.0,4.28,4.31,2.58,526
147,0.59,Very Good,F,VS2,60.1,57.0,5.44,5.48,3.28,1813
148,0.3,Ideal,F,VS1,62.4,56.0,4.3,4.32,2.68,673
149,1.04,Very Good,E,SI2,60.9,59.0,6.58,6.62,4.02,4486
150,0.39,Premium,G,VS1,62.7,58.0,4.69,4.63,2.92,1024
151,0.26,Very Good,G,VVS2,62.2,56.0,4.08,4.1,2.54,426
152,0.5,Ideal,G,VS2,62.2,54.0,5.12,5.07,3.17,1721
153,0.5,Premium,G,SI1,62.6,56.0,5.1,5.06,3.18,1286
154,0.33,Ideal,D,VS1,61.7,55.0,4.47,4.48,2.76,739
155,0.41,Very Good,D,VS2,61.7,54.0,4.77,4.82,2.96,939
156,0.61,Very Good,G,VS1,62.7,57.0,5.36,5.43,3.38,2082
157,0.78,Ideal,E,SI1,62.7,55.0,5.87,5.9,3.69,3067
158,1.06,Premium,F,SI1,61.0,58.0,6.6,6.65,4.04,5142
159,1.23,Ideal,E,VVS2,61.7,57.0,6.85,6.91,4.25,12539
160,1.02,Very Good,E,SI1,63.5,55.0,6.3,6.37,4.02,5245
161,0.57,Very Good,H,VS2,61.7,54.8,5.34,5.37,3.3,1605
162,0.81,Very Good,G,SI2,63.4,58.0,5.87,5.92,3.74,2545
163,0.52,Premium,E,VVS1,59.8,58.0,5.27,5.24,3.14,2302
164,1.2,Ideal,F,VS2,62.6,56.0,6.78,6.73,4.23,8486
165,0.26,Ideal,E,VVS2,62.5,55.0,4.09,4.07,2.55,724
166,0.3,Very Good,H,VS1,60.1,61.0,4.3,4.32,2.59,526
167,0.41,Premium,G,VS1,61.7,57.0,4.78,4.75,2.94,961
168,0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,790
169,0.32,Ideal,E,VVS2,60.8,57.0,4.46,4.42,2.7,1080
170,1.19,Premium,J,SI1,63.0,54.0,6.82,6.74,4.27,4498
171,0.48,Premium,F,VS2,58.7,58.0,5.22,5.17,3.05,1294
172,0.31,Ideal,D,VVS2,62.0,56.0,4.34,4.37,2.7,766
173,0.5,Premium,G,VVS2,62.1,61.0,5.1,5.07,3.16,1806
174,0.59,Very Good,E,VS1,61.6,61.0,5.34,5.37,3.3,1993
175,0.71,Premium,G,SI2,62.1,58.0,5.72,5.68,3.54,2208
176,0.71,Premium,D,VS2,59.2,59.0,5.86,5.8,3.45,3161
177,0.32,Premium,H,SI1,61.8,56.0,4.43,4.4,2.73,591
178,0.32,Premium,H,VS1,61.6,59.0,4.39,4.37,2.7,672
179,1.09,Ideal,F,VS1,61.7,57.0,6.58,6.62,4.07,8730
180,0.34,Ideal,F,VS2,61.4,55.0,4.54,4.52,2.78,856
181,0.57,Premium,D,VS1,60.9,57.0,5.43,5.37,3.29,2093
182,1.41,Very Good,J,VS1,59.4,59.0,7.34,7.38,4.37,7636
183,0.33,Ideal,E,SI2,62.2,54.0,4.44,4.46,2.77,427
184,1.0,Ideal,D,SI1,60.5,57.0,6.52,6.48,3.93,5880
185,0.8,Very Good,H,VS1,61.7,62.0,5.89,5.94,3.65,3209
186,0.32,Ideal,H,VVS1,61.9,55.0,4.38,4.37,2.71,936
187,1.52,Ideal,I,VVS1,61.9,56.0,7.34,7.37,4.55,10968
188,0.46,Fair,G,VS1,58.0,66.0,5.08,5.03,2.93,1035
189,0.76,Premium,E,SI2,62.4,58.0,5.83,5.86,3.65,2451
190,0.4,Ideal,G,VS1,62.2,56.0,4.72,4.74,2.94,877
191,0.32,Ideal,D,VVS2,62.3,54.0,4.42,4.44,2.76,841
192,0.7,Fair,G,SI1,64.8,59.0,5.65,5.56,3.63,2016
193,0.31,Premium,D,VS2,62.0,59.0,4.32,4.36,2.69,734
194,0.3,Ideal,E,VS2,62.4,57.0,4.29,4.33,2.69,658
195,1.07,Premium,G,SI2,59.8,60.0,6.65,6.7,3.99,4201
196,0.7,Ideal,E,VS2,60.5,59.0,5.72,5.75,3.47,3201
197,1.28,Ideal,G,SI1,62.4,58.0,6.89,6.95,4.32,7415
198,0.38,Ideal,H,VVS2,61.4,57.0,4.65,4.63,2.85,1069
199,0.32,Premium,F,VS2,60.7,58.0,4.41,4.45,2.69,645
200,0.52,Very Good,F,SI1,61.9,58.0,5.1,5.15,3.17,1298
201,0.47,Fair,I,VS2,57.1,61.0,5.11,5.15,2.93,919
202,0.3,Ideal,H,SI1,60.9,58.0,4.31,4.33,2.63,450
203,0.3,Very Good,I,VS1,60.4,58.0,4.34,4.4,2.64,473
204,0.71,Very Good,D,VS2,61.8,55.0,5.72,5.74,3.54,3084
205,1.03,Very Good,G,VS2,61.0,58.0,6.5,6.54,3.98,6931
206,1.02,Ideal,H,SI1,63.0,57.0,6.36,6.3,3.99,4233
207,1.62,Premium,H,SI1,62.2,58.0,7.5,7.46,4.65,11455
208,1.2,Very Good,H,SI1,62.1,58.0,6.72,6.77,4.19,6019
209,1.08,Ideal,H,VS2,61.8,56.0,6.59,6.55,4.06,5625
210,0.31,Ideal,D,VS2,62.2,55.0,4.31,4.34,2.69,734
211,1.5,Very Good,H,SI1,61.5,62.0,7.24,7.3,4.47,8791
212,0.25,Very Good,E,VVS2,63.1,55.0,3.98,4.04,2.53,526
213,0.3,Very Good,D,SI1,63.4,54.0,4.31,4.27,2.72,662
214,0.91,Ideal,E,SI1,62.3,55.0,6.2,6.23,3.87,5431
215,0.39,Premium,E,VS1,59.6,60.0,4.72,4.75,2.82,1026
216,1.04,Ideal,I,SI2,62.4,57.0,6.48,6.46,4.04,3953
217,0.57,Ideal,H,SI2,62.3,56.0,5.31,5.28,3.3,1077
218,1.03,Premium,D,VS2,62.9,59.0,6.43,6.38,4.03,7718
219,0.7,Ideal,F,VVS1,62.4,55.0,5.63,5.71,3.54,3830
220,1.32,Premium,G,SI1,62.1,59.0,7.03,6.99,4.35,6542
221,0.31,Very Good,H,VS1,62.9,58.0,4.31,4.34,2.72,544
222,1.58,Ideal,H,VS2,61.4,56.0,7.5,7.56,4.62,12334
223,1.6,Ideal,G,VS2,62.2,55.0,7.5,7.46,4.65,14474
224,1.24,Ideal,I,VS2,62.4,57.0,6.82,6.9,4.28,5638
225,1.04,Ideal,E,SI2,61.1,56.0,6.55,6.51,3.99,5067
226,0.66,Ideal,E,SI1,62.8,57.0,5.58,5.53,3.49,1901
227,0.38,Very Good,E,VS2,59.2,60.0,4.73,4.77,2.81,866
228,1.01,Ideal,D,SI2,62.6,56.0,6.34,6.4,3.99,4785
229,1.62,Premium,G,VS2,62.3,58.0,7.54,7.49,4.68,13702
230,0.9,Very Good,F,VS2,59.6,59.0,6.27,6.31,3.75,4397
231,0.57,Ideal,F,SI1,62.2,55.0,5.32,5.36,3.32,1377
232,0.33,Very Good,I,SI1,63.0,57.0,4.37,4.39,2.76,434
233,1.02,Ideal,F,VS2,62.8,57.0,6.41,6.36,4.01,7037
234,0.3,Ideal,F,VVS1,61.4,56.0,4.33,4.37,2.67,1041
235,2.02,Premium,E,SI2,58.2,60.0,8.32,8.25,4.82,17938
236,0.3,Good,E,SI1,63.4,56.0,4.23,4.25,2.69,526
237,0.31,Very Good,D,SI1,62.9,57.0,4.27,4.32,2.7,571
238,0.46,Very Good,G,VS1,61.4,59.7,4.94,4.97,3.05,1179
239,1.01,Premium,H,SI2,61.9,60.0,6.43,6.4,3.97,4242
240,1.52,Ideal,F,VS2,62.9,53.0,7.36,7.31,4.61,15792
241,1.9,Ideal,H,VS2,61.7,55.0,7.9,7.81,4.85,12443
242,0.59,Ideal,G,VS2,62.9,56.0,5.35,5.33,3.36,1622
243,1.01,Fair,G,VS2,65.7,54.0,6.32,6.28,4.14,4072
244,0.77,Ideal,H,SI2,60.8,57.0,5.96,5.89,3.6,2302
245,0.33,Ideal,F,VS1,62.1,55.0,4.43,4.46,2.76,738
246,0.31,Premium,G,VS1,60.4,59.0,4.41,4.37,2.65,695
247,0.72,Ideal,I,VS2,61.7,56.0,5.73,5.78,3.55,2650
248,1.51,Very Good,E,SI1,63.5,57.0,7.28,7.23,4.61,10891
249,0.4,Ideal,F,VS1,61.3,56.0,4.76,4.73,2.91,1050
250,0.41,Premium,E,VVS1,60.0,61.0,4.86,4.78,2.89,1130
251,0.7,Ideal,G,VVS1,61.9,58.0,5.67,5.74,3.53,3354
252,1.31,Ideal,H,VS1,61.5,55.0,7.05,7.02,4.33,8583
253,0.45,Premium,G,VVS1,60.8,58.0,4.98,4.92,3.01,1323
254,1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,6579
255,0.31,Ideal,F,VVS1,62.4,55.0,4.34,4.32,2.7,985
256,0.62,Very Good,E,VS1,60.1,56.0,5.56,5.58,3.35,2147
257,0.53,Good,F,VS1,61.8,62.8,5.13,5.16,3.18,1624
258,1.02,Ideal,F,VVS1,62.4,56.0,6.44,6.42,4.01,9645
259,0.52,Very Good,E,SI1,58.4,58.0,5.29,5.33,3.1,1382
260,0.32,Ideal,E,IF,61.1,56.0,4.42,4.48,2.72,1018
261,0.9,Very Good,H,VVS1,62.1,59.0,6.17,6.19,3.84,4664
262,0.41,Ideal,E,VVS1,61.3,55.0,4.76,4.8,2.93,1367
263,2.02,Ideal,G,SI2,63.5,54.0,7.96,8.02,5.07,15814
264,1.01,Very Good,I,SI2,59.2,59.0,6.52,6.62,3.89,3792
265,1.12,Ideal,G,VS1,61.5,55.0,6.67,6.69,4.11,7970
266,0.26,Very Good,F,VS1,60.4,56.0,4.14,4.16,2.51,499
267,0.91,Premium,E,VS2,62.3,58.0,6.21,6.15,3.85,5055
268,0.31,Ideal,H,IF,61.4,57.0,4.36,4.39,2.68,772
269,0.9,Very Good,D,SI1,62.3,58.0,6.14,6.16,3.83,4497
270,0.91,Premium,H,VS2,62.3,57.0,6.22,6.13,3.85,3963
271,1.04,Very Good,F,VS2,59.0,57.0,6.64,6.69,3.93,6405
272,1.08,Ideal,F,VS1,62.1,53.0,6.6,6.64,4.11,8321
273,0.32,Ideal,E,SI2,61.0,56.0,4.42,4.44,2.7,427
274,0.9,Very Good,G,SI2,64.2,60.0,6.02,6.09,3.89,3437
275,0.24,Premium,D,VS2,61.4,55.0,4.05,3.99,2.47,485
276,0.31,Premium,F,VS2,61.8,59.0,4.31,4.33,2.67,625
277,2.01,Premium,H,SI2,61.9,59.0,8.13,7.97,4.98,11646
278,0.45,Ideal,G,VVS1,61.5,57.0,4.95,4.91,3.03,1358
279,0.51,Ideal,F,VS2,61.6,57.0,5.14,5.15,3.17,1661
280,0.79,Good,E,SI1,63.2,56.0,5.83,5.91,3.71,3107
281,0.33,Ideal,E,VS1,59.6,56.0,4.54,4.49,2.69,1002
282,1.01,Very Good,E,SI1,62.0,61.0,6.38,6.42,3.97,5216
283,1.23,Ideal,I,VVS2,62.0,55.0,6.86,6.89,4.26,7299
284,0.54,Ideal,H,IF,60.3,55.0,5.29,5.33,3.2,2210
285,1.04,Very Good,H,SI2,60.2,60.0,6.52,6.57,3.94,4332
286,0.93,Premium,E,I1,62.3,60.0,6.2,6.23,3.87,2624
287,1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7369
288,0.35,Ideal,G,VS1,60.6,56.0,4.57,4.6,2.78,706
289,2.04,Premium,F,SI2,60.2,58.0,8.24,8.17,4.94,18231
290,0.51,Ideal,G,SI1,61.9,56.0,5.11,5.17,3.17,1321
291,0.32,Very Good,I,VS1,63.1,56.0,4.4,4.38,2.77,648
292,0.4,Ideal,G,SI1,62.7,57.0,4.65,4.69,2.93,736
293,1.67,Very Good,H,SI1,59.4,61.0,7.73,7.78,4.61,11146
294,1.04,Ideal,G,SI2,61.4,57.0,6.48,6.54,4.0,4375
295,1.05,Very Good,H,VS2,63.3,58.0,6.42,6.48,4.08,5236
296,0.32,Good,G,SI2,63.4,55.0,4.32,4.35,2.75,421
297,0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2528
298,1.21,Premium,G,SI2,60.3,58.0,6.96,6.9,4.18,5529
299,0.96,Fair,H,I1,69.2,56.0,5.97,5.83,4.08,1739
300,0.42,Good,G,SI1,63.1,56.0,4.75,4.79,3.01,687
301,0.9,Premium,E,SI1,62.3,56.0,6.21,6.14,3.85,4502
302,1.06,Ideal,H,SI2,60.9,56.0,6.58,6.63,4.02,4563
303,0.34,Very Good,F,SI2,63.3,54.0,4.48,4.46,2.83,574
304,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,758
305,0.25,Premium,E,VS1,60.7,59.0,4.11,4.13,2.5,435
306,1.21,Premium,J,VVS2,60.8,60.0,6.86,6.88,4.18,5572
307,0.54,Ideal,G,SI1,62.6,57.0,5.21,5.18,3.25,1389
308,2.15,Ideal,I,SI2,61.7,55.0,8.24,8.43,5.14,14388
309,0.42,Ideal,D,VVS2,62.1,55.0,4.78,4.81,2.98,1326
310,1.02,Fair,I,SI2,66.2,57.0,6.34,6.26,4.17,3290
311,1.01,Premium,E,SI2,62.9,59.0,6.37,6.31,3.99,4688
312,0.31,Premium,F,VS1,61.8,60.0,4.39,4.35,2.7,872
313,0.54,Good,H,VS1,63.2,58.0,5.12,5.16,3.25,1361
314,1.19,Premium,I,SI2,62.6,58.0,6.82,6.69,4.23,4498
315,0.7,Premium,I,SI2,62.3,59.0,5.64,5.59,3.5,1415
316,1.14,Premium,F,VS2,62.0,59.0,6.71,6.64,4.14,7275
317,1.56,Very Good,J,SI2,62.0,57.0,7.37,7.44,4.59,6662
318,0.33,Ideal,G,SI1,61.4,57.0,4.48,4.45,2.74,631
319,0.7,Ideal,I,VVS2,61.1,56.0,5.73,5.76,3.52,2530
320,1.51,Very Good,F,SI1,63.0,61.0,7.27,7.3,4.59,11560
321,0.3,Ideal,D,VS2,62.2,54.0,4.28,4.31,2.67,710
322,0.31,Premium,D,VS2,62.5,52.0,4.4,4.37,2.74,816
323,0.58,Fair,G,VS1,64.7,60.0,5.23,5.28,3.41,1701
324,0.57,Ideal,F,IF,61.8,54.0,5.33,5.35,3.3,2974
325,1.02,Ideal,G,VVS1,61.5,57.0,6.47,6.44,3.97,8317
326,1.22,Ideal,J,SI1,60.6,56.0,6.96,6.95,4.22,5586
327,1.14,Premium,H,SI1,61.9,58.0,6.71,6.67,4.14,5458
328,0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640
329,0.56,Ideal,J,VS2,62.0,56.0,5.27,5.31,3.28,1224
330,0.3,Premium,G,VVS2,62.2,59.0,4.31,4.28,2.67,878
331,0.96,Very Good,F,SI2,60.9,57.0,6.38,6.42,3.9,4142
332,1.3,Ideal,E,IF,62.3,54.0,6.97,7.03,4.36,15874
333,0.23,Very Good,F,VVS2,59.6,57.0,3.98,4.0,2.38,530
334,0.59,Very Good,D,SI1,62.3,54.0,5.38,5.41,3.36,1816
335,0.43,Ideal,H,VS1,62.3,57.0,4.81,4.84,3.0,868
336,0.42,Fair,D,SI1,64.7,61.0,4.7,4.73,3.05,675
337,0.55,Ideal,G,SI1,60.8,56.0,5.3,5.36,3.24,1429
338,1.01,Premium,D,SI1,61.7,62.0,6.34,6.3,3.9,5543
339,0.72,Premium,H,IF,58.7,59.0,5.94,5.88,3.47,3048
340,1.01,Very Good,H,SI1,63.0,57.0,6.34,6.36,4.0,5172
341,0.73,Ideal,G,VVS2,61.9,55.0,5.83,5.77,3.59,2919
342,1.01,Very Good,H,SI1,59.3,62.0,6.57,6.55,3.89,4868
343,1.55,Premium,H,VS1,58.4,61.0,7.64,7.59,4.45,9041
344,1.14,Ideal,H,VS2,61.6,56.0,6.68,6.72,4.13,5831
345,0.3,Ideal,H,VVS2,61.3,56.0,4.33,4.35,2.66,605
346,0.3,Very Good,E,SI1,62.4,58.0,4.24,4.28,2.66,526
347,0.33,Ideal,D,VS2,61.9,56.0,4.42,4.44,2.74,781
348,0.3,Ideal,D,VS2,62.5,54.0,4.32,4.29,2.69,911
349,0.33,Premium,E,VS2,61.1,59.0,4.45,4.49,2.73,723
350,0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64,2393
351,1.01,Premium,F,SI1,60.6,59.0,6.52,6.49,3.94,5345
352,0.69,Premium,H,SI1,62.8,58.0,5.65,5.62,3.54,1822
